id,Label,subcat1,subcat2,obj1,pb1,obj2,pb2,obj3,pb3,obj4,pb4,obj5,pb5,obj6,pb6,black,red,green,blue,yellow,magenta,cyan,maroon,purple,orange,gray,white,booksDay,price
1476746583,"All the Light We Cannot See Hardcover","Literature & Fiction","Genre Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.4899626194,0.0,0.0,0.0,0.290737920532,0.0,0.0138446628825,0.016613595459,0.016613595459,0.016613595459,65.8064516129,6.3491623979,C,10.99
076115728X,"Beautiful Oops! Hardcover","Children's Books","Arts, Music & Photography",paintbrush,9.7102552652359,wooden_spoon,8.449040353298187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.4173107418,1.00887762364,0.00749166552211,0.0,56.6045274632,0.00374583276105,1.51081921362,0.35710272322,0.565620746919,10.1000137347,9.08489305647,18.3395971981,D,8.66
0849946158,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back Paperback",Self-Help,Relationships,person,98.98818135261536,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.63271511098,0.0,0.0,0.0,77.3426573427,0.0,0.0,1.12800243235,0.0121617512922,10.8878078443,6.36971723928,2.62693827911,C,7.99
067443000X,"Capital in the Twenty First Century Hardcover","Politics & Social Sciences","Politics & Government",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.44600495692,5.56178449192,0.0,0.0,0.0,0.0,0.0,0.687477870884,0.0236043904166,0.309807624218,7.19933907707,83.7719815886,D,19.99
1451193785,"Pocket Medicine: The Massachusetts General Hospital Handbook of Internal Medicine (Pocket Notebook) Fifth Edition Fifth, North American Edition","New, Used & Rental Textbooks","Medicine & Health Sciences",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.149078294774,0.0,0.0,0.0,0.0172013417047,0.0,0.0,0.392763968923,89.3466357043,0.0,3.42306699923,6.67125369112,E,57.6
0316017930,"Outliers: The Story of Success Paperback","Science & Math",Mathematics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.659229208925,0.0,0.0,0.0,0.0,0.0,0.0,0.0535271579896,0.236646382691,0.0197205318909,4.75264818571,94.2782285328,D,9.99
162157203X,"America: Imagine a World without Her Hardcover","Politics & Social Sciences","Politics & Government",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.9572220895,0.0,0.0,0.0,5.21720669798,0.0,0.0,0.58116392007,0.0,0.10084122814,27.8268715336,2.31669453069,C,9.8
0060555661,"The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition) (Collins Business Essentials) Paperback","Business & Money",Investing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.69281946,0.163725668546,0.0,13.2150003898,6.92845448167,D,13.46
014241493X,"Paper Towns Paperback","Teen & Young Adult","Literature & Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.93641368887,1.066069308,0.0,0.0,0.0,0.0,0.0,10.2450609954,0.0404836446076,0.140343301306,11.2544532009,74.317175861,D,4.99
1594205221,"How Not to Be Wrong: The Power of Mathematical Thinking Hardcover","Science & Math",Mathematics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.572545733836,0.0,0.365870688451,0.0,0.0,0.0,0.0,0.00837871805614,0.00558581203742,0.0,96.7881580785,2.25946096914,E,12.99
0312542542,"A Pocket Style Manual Sixth Edition",Reference,"Writing, Research & Publishing Guides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0204081632653,0.0,0.0,0.0357142857143,0.647959183673,0.0,2.5306122449,0.729591836735,1.96428571429,40.0306122449,18.3979591837,35.6428571429,E,20.25
006232005X,"The Heist: A Novel (Gabriel Allon) Hardcover","Literature & Fiction","Action & Adventure",pretzel,86.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.9827998324,0.0,0.0,0.0,0.00492841477539,0.0,0.00246420738769,5.91163352308,12.2890022424,0.788546364062,14.6102856016,8.4103398142,D,13.99
0763644765,"Potty (Leslie Patricelli board books) Board book","Children's Books","Growing Up & Facts of Life",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.68252595156,0.0,0.0,0.0,0.0,0.0,0.0,0.426518646674,0.26432141484,1.71448481353,82.6905517109,8.22159746251,D,3.76
0307341577,"Dark Places Paperback","Mystery, Thriller & Suspense","Thrillers & Suspense",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.3682355015,0.0,0.0,0.0,0.0,0.0,0.511193372114,0.0211528291909,0.00352547153182,0.0,11.4736471003,0.622245725366,D,4.99
0756634687,"Baby Touch and Feel: Animals Board book","Children's Books","Early Learning",guinea_pig,99.64313507080078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.077089115017,0.0,0.0,0.0,0.0,0.0,0.0,1.50709219858,0.00128481858362,0.0,44.3969061569,54.017627711,E,3.45
0805098542,"Killing Jesus (Bill O'Reilly's Killing Series) Hardcover",History,World,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.191475191475,0.879675879676,0.0,0.0,0.0,0.0,0.0,1.42357642358,1.94527694528,0.04995004995,17.6379176379,77.8721278721,D,9.99
0800788036,"Laugh-Out-Loud Jokes for Kids Paperback","Children's Books",Humor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.6202162222,0.190892237661,0.0,0.0,0.0,0.0,0.0,8.62135423359,0.238615297076,64.6794295259,8.75718140269,6.89231108093,D,2.99
0736430512,"Frozen Little Golden Book (Disney Frozen) Hardcover","Children's Books","Growing Up & Facts of Life",teddy,8.875945955514908,surfboard,85.87285876274109,person,80.01821637153625,NULL,NULL,NULL,NULL,NULL,NULL,1.8819003011,0.0,0.0,0.0,0.0,0.0,0.816884130701,5.72655291625,5.02537080406,0.181220028995,77.3349503736,9.0331214453,A,2.06
0142402516,"Looking for Alaska Paperback","Teen & Young Adult","Literature & Fiction",perfume,8.015824109315872,corkscrew,99.91121888160706,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74.6484698098,0.0,0.0,0.0,2.72125723739,0.0,0.0,1.17452440033,0.479735318445,2.8811690102,14.7532395919,3.34160463193,B,4.99
0545669936,"Minecraft: Essential Handbook: An Official Mojang Book Hardcover","Children's Books","Activities, Crafts & Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0149357761625,0.0,0.0,0.0,0.0224036642438,0.0,0.0,1.75495369909,0.0,0.0,92.1661854028,6.04152145773,D,7.19
0375858245,"Because of Mr. Terupt Paperback","Children's Books","Growing Up & Facts of Life",ice_cream,9.53758955001831,person,97.09998965263367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9165246139,0.0,0.0,0.0,0.0,0.0,0.0,18.7070613152,2.05072576063,0.209205020921,38.3335916111,16.7828916783,E,4.56
0399159347,"The Husband's Secret Hardcover","Literature & Fiction","Genre Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.16693944354,0.0,0.0,0.0,0.0,0.00272776868522,0.0,0.215493726132,0.878341516639,0.0,24.9018003273,70.8346972177,D,9.99
